	Country Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
46	Comoros	351136568.4	378512003.4	425964697.4	546885185.0	633706149.3	653845122.9	698431827.7	795673128.5	915659192.8	905341090.6	907978723.5	1023086184.0	1015843369.0	1116224161.0	1149587652.0	966029542.0	1012835518.0	1077439663.0	1188797575.0	1192559739.0	1235400352.0
47	Cabo Verde	539227277.6	563024383.3	620974660.2	813963830.2	924318490.8	971977088.2	1107891063.0	1513933983.0	1789333749.0	1711817182.0	1664310770.0	1865915544.0	1741809809.0	1850470042.0	1859898513.0	1596800287.0	1662998678.0	1768319144.0	1966503223.0	1981845741.0	1703698677.0
48	Costa Rica	15013629659.0	15976174337.0	16578820687.0	17271760507.0	18610594846.0	20040642477.0	22715540324.0	26884700345.0	30801744881.0	30745712007.0	37658614803.0	42762617082.0	47231651863.0	50949672206.0	52016408951.0	56441917653.0	58847016045.0	60516043590.0	62420165100.0	64072870932.0	61846895121.0
49	Caribbean small states	34218221461.0	35249133311.0	36990732762.0	39545920854.0	43259612458.0	48918948094.0	55671360538.0	61875369660.0	70340114413.0	59411440870.0	64524447018.0	69668271733.0	72051115324.0	73345409464.0	74470922980.0	73243299833.0	69598702058.0	71693634217.0	75312833438.0	76173669481.0	66039332389.0
50	Cuba	30565400000.0	31682400000.0	33590500000.0	35901200000.0	38203000000.0	42643836100.0	52742800000.0	58603900000.0	60806300000.0	62080000000.0	64328000000.0	68990000000.0	73141000000.0	77148000000.0	80656000000.0	87133000000.0	91370000000.0	96851000000.0	100050000000.0	103428000000.0	107352000000.0
51	Curacao	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3038699609.0	3131096089.0	3147616201.0	3158406034.0	3151910782.0	3122287933.0	3116610112.0	3127908045.0	3101787709.0	2595821709.0
52	Cayman Islands	NULL	NULL	NULL	NULL	NULL	NULL	4200439458.0	4466438858.0	4586114125.0	4281868715.0	4156990760.0	4186223809.0	4291159006.0	4405954638.0	4563017881.0	4708336733.0	4909498980.0	5166467299.0	5522625585.0	5935769351.0	5591623665.0
53	Cyprus	9985844486.0	10397897086.0	11420227885.0	14547325028.0	17320552500.0	18433411267.0	20072786351.0	23968764030.0	27844698989.0	25945391775.0	25732432719.0	27565469098.0	24978513427.0	23900872626.0	23156850007.0	19842404305.0	20953442550.0	22870833710.0	25522671233.0	25758357775.0	24612646488.0
54	Czech Republic	61828166496.0	67808032980.0	82196001051.0	100090000000.0	119814000000.0	137143000000.0	156264000000.0	190184000000.0	236816000000.0	207434000000.0	209070000000.0	229563000000.0	208858000000.0	211686000000.0	209359000000.0	188033000000.0	196272000000.0	218629000000.0	248950000000.0	252498000000.0	245339000000.0
55	Germany	1947980000000.0	1945790000000.0	2078480000000.0	2501640000000.0	2814350000000.0	2846860000000.0	2994700000000.0	3425580000000.0	3745260000000.0	3411260000000.0	3399670000000.0	3749310000000.0	3527140000000.0	3733800000000.0	3889090000000.0	3357590000000.0	3469850000000.0	3690850000000.0	3977290000000.0	3888330000000.0	3846410000000.0
56	Djibouti	551230861.9	572417440.8	591122039.6	622044665.5	666072101.8	708633194.7	768873684.0	847918929.1	999105339.3	1049110685.0	1128611700.0	1239144502.0	1353632942.0	2042817163.0	2214679081.0	2430274292.0	2603540257.0	2751445574.0	3012803457.0	3324615549.0	3384385217.0
57	Dominica	333470370.4	340203703.7	333196296.3	343311111.1	367200000.0	364255555.6	390251851.9	421374074.1	458188888.9	489074074.1	493825925.9	501025925.9	485996296.3	498296296.3	520207407.4	540737037.0	576229629.6	519837037.0	550622222.2	611537037.0	504214814.8
58	Denmark	164159000000.0	164791000000.0	178635000000.0	218096000000.0	251373000000.0	264467000000.0	282885000000.0	319423000000.0	353361000000.0	321241000000.0	321995000000.0	344003000000.0	327149000000.0	343584000000.0	352994000000.0	302673000000.0	313116000000.0	332121000000.0	356841000000.0	347561000000.0	356085000000.0
59	Dominican Republic	24305717542.0	25601765401.0	27137508657.0	21403167848.0	22322395368.0	35777570136.0	37879869898.0	43965420072.0	48122547177.0	48261033298.0	53860175556.0	58029750746.0	60681537196.0	62682163837.0	67179914027.0	71164825257.0	75704720190.0	79997975622.0	85555378043.0	88941299734.0	78844702329.0
60	Algeria	54790392746.0	54744712815.0	56760355865.0	67863828413.0	85332581189.0	103198000000.0	117027000000.0	134977000000.0	171001000000.0	137211000000.0	161207000000.0	200013000000.0	209059000000.0	209755000000.0	213810000000.0	165979000000.0	160034000000.0	170097000000.0	174911000000.0	171767000000.0	145009000000.0
