Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001
65	66	Colombia	0	4	1	5	271438000000.0	323430000000.0	334198000000.0	311884000000.0	282825000000.0	293482000000.0	381112000000.0	382116000000.0	370921000000.0	334944000000.0	286563000000.0	232398000000.0	242187000000.0	206182000000.0	161619000000.0	145619000000.0	117082000000.0	94641378693.0	97963003805.0	98211749596.0
66	67	Azerbaijan	0	3	4	7	42607176471.0	48174235294.0	47112941176.0	40865558912.0	37867518957.0	53074370486.0	75244294275.0	74164435946.0	69683935845.0	65951627200.0	52909294792.0	44291490421.0	48852482960.0	33050343783.0	20982986344.0	13245716099.0	8680370408.0	7276753895.0	6235856820.0	5707720391.0
67	68	Dominican_Republic	0	3	2	5	78844702329.0	88941299734.0	85555378043.0	79997975622.0	75704720190.0	71164825257.0	67179914027.0	62682163837.0	60681537196.0	58029750746.0	53860175556.0	48261033298.0	48122547177.0	43965420072.0	37879869898.0	35777570136.0	22322395368.0	21403167848.0	27137508657.0	25601765401.0
68	69	Armenia	0	2	2	4	12641209802.0	13619291361.0	12457941907.0	11527458566.0	10546135160.0	10553337673.0	11609512940.0	11121465767.0	10619320049.0	10142111334.0	9260284938.0	8647936748.0	11662040714.0	9206301700.0	6384451606.0	4900469950.0	3576615240.0	2807061009.0	2376335048.0	2118467913.0
69	70	Kyrgyz	0	2	1	3	7735976273.0	8871026074.0	8271108638.0	7702934800.0	6813092066.0	6678178340.0	7468096567.0	7335027592.0	6605139933.0	6197766119.0	4794357795.0	4690062255.0	5139957785.0	3802566171.0	2834168889.0	2460248026.0	2211534585.0	1919008090.0	1605643105.0	1525116370.0
70	71	Mongolia	0	1	3	4	13312981595.0	14206359007.0	13178094459.0	11480847745.0	11181350461.0	11619892396.0	12226514722.0	12582122604.0	12292770631.0	10409797649.0	7189481824.0	4583850368.0	5623216449.0	4234999823.0	3414055566.0	2523471532.0	1992066808.0	1595297356.0	1396555720.0	1267997934.0
71	72	Argentina	0	1	2	3	389288000000.0	451932000000.0	524820000000.0	643629000000.0	557531000000.0	594749000000.0	526320000000.0	552025000000.0	545982000000.0	530163000000.0	423627000000.0	332976000000.0	361558000000.0	287531000000.0	232557000000.0	198737000000.0	164658000000.0	127587000000.0	97724004252.0	268697000000.0
72	72	San_Marino	0	1	2	3		1616369646.0	1655300873.0	1528630707.0	1468377272.0	1419394771.0	1673973695.0	1678841812.0	1604779648.0	1813752784.0	1881214371.0	2056126702.0	2393437820.0	2185874624.0	1908167106.0	1785847531.0	1723750000.0	1464326161.0	1168269231.0	1077413479.0
73	74	Nigeria	0	1	1	2	432294000000.0	448120000000.0	397190000000.0	375746000000.0	404650000000.0	486803000000.0	546676000000.0	508693000000.0	455502000000.0	404994000000.0	361457000000.0	295009000000.0	339476000000.0	275626000000.0	236104000000.0	176134000000.0	136386000000.0	104912000000.0	95385819321.0	74030364472.0
74	74	Jordan	0	1	1	2	43697659296.0	44502895915.0	42932112676.0	41408960845.0	39892551127.0	38587017887.0	36847643521.0	34454440141.0	31634561690.0	29524149155.0	27133804225.0	24537876056.0	22657662393.0	17110587447.0	15056929760.0	12588665303.0	11411390409.0	10195660790.0	9582453032.0	8975689845.0
