Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Caribbean small states,34249904537,35284396506,37023706335,39580356455,43293805574,48957056297,55704431126,61916043830,70404981344,59480682376,64592893104,69730495218,72141071446,73521446002,74620404150,73535009882,69478366695,72533236071,75431169088,77023818121,65922853041,69970323144
Cuba,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,1.0005E+11,1.03428E+11,1.07352E+11,0
Cyprus,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22870833710,25522671233,25758357775,24692095945,27719337670
Czech_Republic,61828166496,67808032980,82196001051,1.0009E+11,1.19814E+11,1.37143E+11,1.56264E+11,1.90184E+11,2.36816E+11,2.07434E+11,2.0907E+11,2.29563E+11,2.08858E+11,2.11686E+11,2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.4895E+11,2.52498E+11,2.45339E+11,2.82341E+11
Germany,1.94798E+12,1.94579E+12,2.07848E+12,2.50164E+12,2.81435E+12,2.84686E+12,2.9947E+12,3.42558E+12,3.74526E+12,3.41126E+12,3.39967E+12,3.74931E+12,3.52714E+12,3.7338E+12,3.88909E+12,3.35759E+12,3.46985E+12,3.69085E+12,3.97729E+12,3.88833E+12,3.84641E+12,4.22312E+12
Djibouti,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3181071154,3371102124
Dominica,333470370.4,340203703.7,333196296.3,343311111.1,367200000,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8,545618518.5
Denmark,1.64159E+11,1.64791E+11,1.78635E+11,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56841E+11,3.47561E+11,3.56085E+11,3.97104E+11
Dominican Republic,24305717542,25601765401,27137508657,21403167848,22322395368,35777570136,37879869898,43965420072,48122547177,48261033298,53860175556,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941299734,78844702329,94243453937
Algeria,54790392746,54744712815,56760355865,67863828413,85332581189,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.71767E+11,1.45009E+11,1.67983E+11
East Asia & Pacific (excluding high income),1.73467E+12,1.84748E+12,2.04436E+12,2.31176E+12,2.68236E+12,3.10691E+12,3.74075E+12,4.72782E+12,5.97889E+12,6.48459E+12,7.88943E+12,9.64551E+12,1.07592E+13,1.18711E+13,1.27988E+13,1.33276E+13,1.36124E+13,1.48773E+13,1.6639E+13,1.72039E+13,1.74838E+13,2.07466E+13
Early-demographic dividend,3.38251E+12,3.35288E+12,3.25998E+12,3.62823E+12,4.22492E+12,4.92715E+12,5.63433E+12,6.66711E+12,7.52005E+12,7.25791E+12,8.80087E+12,9.72007E+12,1.01535E+13,1.02956E+13,1.06483E+13,1.0129E+13,1.04544E+13,1.12913E+13,1.14011E+13,1.16438E+13,1.08417E+13,1.26181E+13
East Asia & Pacific,8.37314E+12,7.78701E+12,7.90958E+12,8.69626E+12,9.75349E+12,1.0406E+13,1.1028E+13,1.23218E+13,1.42065E+13,1.46193E+13,1.70633E+13,1.97887E+13,2.11712E+13,2.14098E+13,2.20853E+13,2.19971E+13,2.27721E+13,2.43252E+13,2.6481E+13,2.70241E+13,2.71187E+13,3.08808E+13
Europe & Central Asia (excluding high income),6.62874E+11,6.55067E+11,7.50711E+11,9.47224E+11,1.25604E+12,1.58962E+12,1.95008E+12,2.50946E+12,3.11038E+12,2.43779E+12,2.95306E+12,3.67001E+12,3.9147E+12,4.15022E+12,3.84583E+12,2.9214E+12,2.77773E+12,3.11819E+12,3.18253E+12,3.24971E+12,2.98073E+12,3.49915E+12
Europe & Central Asia,1.00626E+13,1.0163E+13,1.11335E+13,1.35375E+13,1.57769E+13,1.67845E+13,1.81785E+13,2.12457E+13,2.33754E+13,2.05612E+13,2.10258E+13,2.33141E+13,2.24623E+13,2.34812E+13,2.38119E+13,2.05133E+13,2.04537E+13,2.16802E+13,2.32241E+13,2.29416E+13,2.21339E+13,2.50469E+13
Ecuador,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.08108E+11,99291124000,1.06166E+11
Egypt,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,1.07426E+11,1.30438E+11,1.62818E+11,1.89147E+11,2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.35734E+11,2.49713E+11,3.03081E+11,3.65253E+11,4.04143E+11
Euro area,6.4955E+12,6.59632E+12,7.19993E+12,8.86229E+12,1.01604E+13,1.05235E+13,1.1184E+13,1.28791E+13,1.41583E+13,1.29385E+13,1.26413E+13,1.36374E+13,1.26382E+13,1.31954E+13,1.35089E+13,1.16744E+13,1.19725E+13,1.26777E+13,1.36994E+13,1.34161E+13,1.30273E+13,1.44932E+13
Eritrea,706370815.6,752368495.5,729321366.7,870247703.2,1109054005,1098425901,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,0,0,0,0,0,0,0,0,0,0
Spain,5.98363E+11,6.2783E+11,7.08757E+11,9.07492E+11,1.06906E+12,1.15372E+12,1.2604E+12,1.474E+12,1.63186E+12,1.49147E+12,1.42211E+12,1.48071E+12,1.32474E+12,1.35514E+12,1.37122E+12,1.1956E+12,1.23291E+12,1.31254E+12,1.42099E+12,1.39305E+12,1.28148E+12,1.42528E+12
Estonia,5686579748,6254649539,7367975888,9874013098,12145911801,14106790200,17022870405,22449129483,24341678629,19633031398,19523477326,23213994093,23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30489500905,31045591753,30650285472,36262924354
Ethiopia,8242392104,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,1.07658E+11,1.11271E+11
European Union,7.2761E+12,7.39382E+12,8.08384E+12,9.93188E+12,1.1419E+13,1.19108E+13,1.27139E+13,1.47288E+13,1.62976E+13,1.47638E+13,1.45576E+13,1.57595E+13,1.46362E+13,1.52997E+13,1.56521E+13,1.35519E+13,1.38932E+13,1.47663E+13,1.59787E+13,1.56919E+13,1.53001E+13,1.70886E+13
Fragile and conflict affected situations,5.01178E+11,4.93623E+11,4.80142E+11,4.97887E+11,6.26578E+11,7.85432E+11,9.73295E+11,1.18238E+12,1.5082E+12,1.44376E+12,1.70488E+12,1.58569E+12,1.77566E+12,1.84157E+12,2.00305E+12,1.62631E+12,1.50806E+12,1.58089E+12,1.60327E+12,1.68942E+12,1.56151E+12,1.64488E+12
Finland,1.2602E+11,1.29533E+11,1.40404E+11,1.71652E+11,1.97479E+11,2.04885E+11,2.17089E+11,2.56378E+11,2.85716E+11,2.53498E+11,2.49424E+11,2.75604E+11,2.5829E+11,2.71362E+11,2.74863E+11,2.34534E+11,2.40771E+11,2.55648E+11,2.75715E+11,2.68508E+11,2.71837E+11,2.99155E+11
Fiji,1678239218,1652464201,1833279985,2300453634,2708078477,2980484920,3076305453,3378314600,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4856963230,4682546863,4930204230,5353404422,5581371850,5496264766,4574413823,4592118710
France,1.36564E+12,1.37766E+12,1.50141E+12,1.84454E+12,2.11963E+12,2.19695E+12,2.32054E+12,2.66059E+12,2.9303E+12,2.70089E+12,2.64519E+12,2.86516E+12,2.68367E+12,2.81188E+12,2.85596E+12,2.43919E+12,2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.63032E+12,2.93747E+12
Faroe Islands,1068278260,1162024799,1276375290,1500235287,1708217189,1754406443,2014663348,2333137388,2488397638,2295640657,2322202664,2499152495,2414380665,2677296441,2901131403,2561824641,2804863556,2969876872,3180074747,3268839776,3240759989,0
Micronesia Fed. Sts.,233271800,240970900,242517200,245432900,240236000,250281900,253541900,256787200,263145100,280284600,296944100,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,412479413.4,407515928,404178049.8
Gabon,5080483464,5023265365,5335451308,6511903657,7770219480,9582783318,10327598801,12455410056,15571349776,12113699661,14372591916,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16867325127,16874405840,15316824039,18269350434
United_Kingdom,1.66213E+12,1.64391E+12,1.78408E+12,2.05709E+12,2.42181E+12,2.54483E+12,2.71706E+12,3.10618E+12,2.93888E+12,2.4258E+12,2.49111E+12,2.67489E+12,2.71916E+12,2.80329E+12,3.08717E+12,2.95657E+12,2.72285E+12,2.69902E+12,2.90079E+12,2.87867E+12,2.7569E+12,3.18686E+12
Georgia,3057475335,3219488664,3395728014,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17596922470,17470436259,15842922533,18700241392
Ghana,4983024408,5314909954,6166330136,7632406553,8881368538,10744675210,20440893017,24827844950,28678701891,26048108185,32197272797,39337314810,41270954737,62823043706,54782847753,49406568433,56165172899,60406382899,67299280680,68337537816,70043199814,77594279055
